ResponseId,Age,Country,EdLevel,Technology,Category
24,55-64 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS,Language
24,55-64 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",JavaScript,Language
24,55-64 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",PHP,Language
24,55-64 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Python,Language
24,55-64 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Rust,Language
24,55-64 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",SQL,Language
27,35-44 years old,Italy,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",C#,Language
27,35-44 years old,Italy,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",JavaScript,Language
27,35-44 years old,Italy,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Python,Language
27,35-44 years old,Italy,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Scala,Language
27,35-44 years old,Italy,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",SQL,Language
29,25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells),Language
29,25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C#,Language
29,25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",HTML/CSS,Language
29,25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,Language
29,25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",PHP,Language
29,25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",PowerShell,Language
29,25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Python,Language
29,25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",SQL,Language
30,25-34 years old,Philippines,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",C#,Language
30,25-34 years old,Philippines,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS,Language
30,25-34 years old,Philippines,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",JavaScript,Language
30,25-34 years old,Philippines,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Kotlin,Language
30,25-34 years old,Philippines,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",SQL,Language
30,25-34 years old,Philippines,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",TypeScript,Language
33,25-34 years old,Brazil,"Associate degree (A.A., A.S., etc.)",Bash/Shell (all shells),Language
33,25-34 years old,Brazil,"Associate degree (A.A., A.S., etc.)",C#,Language
33,25-34 years old,Brazil,"Associate degree (A.A., A.S., etc.)",JavaScript,Language
33,25-34 years old,Brazil,"Associate degree (A.A., A.S., etc.)",PHP,Language
33,25-34 years old,Brazil,"Associate degree (A.A., A.S., etc.)",Python,Language
33,25-34 years old,Brazil,"Associate degree (A.A., A.S., etc.)",SQL,Language
33,25-34 years old,Brazil,"Associate degree (A.A., A.S., etc.)",TypeScript,Language
36,25-34 years old,United States of America,Some college/university study without earning a degree,Bash/Shell (all shells),Language
36,25-34 years old,United States of America,Some college/university study without earning a degree,C#,Language
36,25-34 years old,United States of America,Some college/university study without earning a degree,HTML/CSS,Language
36,25-34 years old,United States of America,Some college/university study without earning a degree,Python,Language
36,25-34 years old,United States of America,Some college/university study without earning a degree,SQL,Language
37,18-24 years old,Austria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells),Language
37,18-24 years old,Austria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Java,Language
37,18-24 years old,Austria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",SQL,Language
39,35-44 years old,France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",HTML/CSS,Language
39,35-44 years old,France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",JavaScript,Language
39,35-44 years old,France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python,Language
39,35-44 years old,France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Ruby,Language
39,35-44 years old,France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",SQL,Language
39,35-44 years old,France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",TypeScript,Language
41,25-34 years old,Brazil,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Elixir,Language
41,25-34 years old,Brazil,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Go,Language
41,25-34 years old,Brazil,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS,Language
41,25-34 years old,Brazil,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Ruby,Language
41,25-34 years old,Brazil,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Rust,Language
41,25-34 years old,Brazil,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",SQL,Language
44,35-44 years old,Austria,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Assembly,Language
44,35-44 years old,Austria,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",C#,Language
44,35-44 years old,Austria,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",C++,Language
44,35-44 years old,Austria,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS,Language
44,35-44 years old,Austria,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,Language
44,35-44 years old,Austria,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,Language
44,35-44 years old,Austria,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",SQL,Language
45,25-34 years old,Romania,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",C#,Language
45,25-34 years old,Romania,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS,Language
45,25-34 years old,Romania,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,Language
45,25-34 years old,Romania,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",SQL,Language
45,25-34 years old,Romania,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",TypeScript,Language
46,25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Dart,Language
46,25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Go,Language
46,25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Python,Language
46,25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Rust,Language
46,25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",SQL,Language
52,18-24 years old,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells),Language
52,18-24 years old,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C#,Language
52,18-24 years old,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Go,Language
52,18-24 years old,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",HTML/CSS,Language
52,18-24 years old,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,Language
52,18-24 years old,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Lua,Language
52,18-24 years old,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Rust,Language
52,18-24 years old,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",SQL,Language
52,18-24 years old,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",TypeScript,Language
53,18-24 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Go,Language
53,18-24 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",HTML/CSS,Language
53,18-24 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Java,Language
53,18-24 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,Language
53,18-24 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",PowerShell,Language
53,18-24 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",SQL,Language
53,18-24 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",TypeScript,Language
55,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,JavaScript,Language
55,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,Lua,Language
55,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,PHP,Language
55,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,Python,Language
55,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,Rust,Language
55,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,TypeScript,Language
62,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",C#,Language
62,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,Language
62,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",SQL,Language
62,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",TypeScript,Language
65,45-54 years old,Sweden,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Java,Language
72,45-54 years old,Sweden,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",C#,Language
72,45-54 years old,Sweden,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",JavaScript,Language
72,45-54 years old,Sweden,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",PowerShell,Language
72,45-54 years old,Sweden,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",SQL,Language
72,45-54 years old,Sweden,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",TypeScript,Language
75,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Assembly,Language
75,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells),Language
75,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",C++,Language
75,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Clojure,Language
75,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Elixir,Language
75,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Erlang,Language
75,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Fortran,Language
75,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Java,Language
75,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,Language
75,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Lua,Language
75,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",OCaml,Language
75,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,Language
75,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",R,Language
75,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Rust,Language
75,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Scala,Language
75,55-64 years old,Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Zig,Language
78,18-24 years old,Republic of North Macedonia,Some college/university study without earning a degree,Bash/Shell (all shells),Language
78,18-24 years old,Republic of North Macedonia,Some college/university study without earning a degree,C++,Language
78,18-24 years old,Republic of North Macedonia,Some college/university study without earning a degree,Dart,Language
78,18-24 years old,Republic of North Macedonia,Some college/university study without earning a degree,Python,Language
78,18-24 years old,Republic of North Macedonia,Some college/university study without earning a degree,SQL,Language
78,18-24 years old,Republic of North Macedonia,Some college/university study without earning a degree,TypeScript,Language
79,45-54 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells),Language
79,45-54 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS,Language
79,45-54 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Java,Language
79,45-54 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Kotlin,Language
79,45-54 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Perl,Language
79,45-54 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Python,Language
87,45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells),Language
87,45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C#,Language
87,45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Go,Language
87,45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,Language
87,45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",PowerShell,Language
87,45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Python,Language
87,45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Rust,Language
87,45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",SQL,Language
87,45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",TypeScript,Language
111,18-24 years old,Greece,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",C,Language
111,18-24 years old,Greece,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",C#,Language
111,18-24 years old,Greece,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS,Language
111,18-24 years old,Greece,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Java,Language
111,18-24 years old,Greece,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Kotlin,Language
111,18-24 years old,Greece,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,Language
111,18-24 years old,Greece,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",SQL,Language
111,18-24 years old,Greece,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Swift,Language
111,18-24 years old,Greece,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",TypeScript,Language
113,45-54 years old,Ireland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells),Language
113,45-54 years old,Ireland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS,Language
113,45-54 years old,Ireland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",JavaScript,Language
113,45-54 years old,Ireland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",TypeScript,Language
114,45-54 years old,United States of America,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,Language
114,45-54 years old,United States of America,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",R,Language
114,45-54 years old,United States of America,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",SQL,Language
119,25-34 years old,Sweden,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",C#,Language
119,25-34 years old,Sweden,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Go,Language
119,25-34 years old,Sweden,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Python,Language
119,25-34 years old,Sweden,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",SQL,Language
121,25-34 years old,United Republic of Tanzania,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells),Language
121,25-34 years old,United Republic of Tanzania,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",C,Language
121,25-34 years old,United Republic of Tanzania,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",C#,Language
121,25-34 years old,United Republic of Tanzania,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",C++,Language
121,25-34 years old,United Republic of Tanzania,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS,Language
121,25-34 years old,United Republic of Tanzania,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",JavaScript,Language
121,25-34 years old,United Republic of Tanzania,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",SQL,Language
122,45-54 years old,Ireland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",C#,Language
122,45-54 years old,Ireland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS,Language
122,45-54 years old,Ireland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,Language
122,45-54 years old,Ireland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",PowerShell,Language
122,45-54 years old,Ireland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,Language
122,45-54 years old,Ireland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",R,Language
122,45-54 years old,Ireland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",SQL,Language
122,45-54 years old,Ireland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Swift,Language
122,45-54 years old,Ireland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",TypeScript,Language
125,35-44 years old,Japan,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",C#,Language
125,35-44 years old,Japan,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS,Language
125,35-44 years old,Japan,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",JavaScript,Language
125,35-44 years old,Japan,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Python,Language
125,35-44 years old,Japan,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",TypeScript,Language
127,25-34 years old,India,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Go,Language
127,25-34 years old,India,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,Language
129,35-44 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",C#,Language
129,35-44 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS,Language
129,35-44 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",JavaScript,Language
129,35-44 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",PowerShell,Language
129,35-44 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Python,Language
129,35-44 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",SQL,Language
129,35-44 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",TypeScript,Language
130,35-44 years old,Sweden,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C#,Language
130,35-44 years old,Sweden,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",HTML/CSS,Language
130,35-44 years old,Sweden,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,Language
130,35-44 years old,Sweden,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Python,Language
130,35-44 years old,Sweden,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",SQL,Language
132,25-34 years old,Germany,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",JavaScript,Language
132,25-34 years old,Germany,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",TypeScript,Language
134,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,Bash/Shell (all shells),Language
134,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,C#,Language
134,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,HTML/CSS,Language
134,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,Java,Language
134,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,Python,Language
134,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,SQL,Language
138,35-44 years old,Argentina,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells),Language
138,35-44 years old,Argentina,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Clojure,Language
138,35-44 years old,Argentina,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Kotlin,Language
138,35-44 years old,Argentina,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",TypeScript,Language
140,Under 18 years old,Pakistan,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells),Language
140,Under 18 years old,Pakistan,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",HTML/CSS,Language
140,Under 18 years old,Pakistan,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,Language
140,Under 18 years old,Pakistan,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",PHP,Language
140,Under 18 years old,Pakistan,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",PowerShell,Language
140,Under 18 years old,Pakistan,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Python,Language
140,Under 18 years old,Pakistan,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",SQL,Language
140,Under 18 years old,Pakistan,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",TypeScript,Language
142,25-34 years old,Italy,Some college/university study without earning a degree,HTML/CSS,Language
142,25-34 years old,Italy,Some college/university study without earning a degree,JavaScript,Language
142,25-34 years old,Italy,Some college/university study without earning a degree,Kotlin,Language
142,25-34 years old,Italy,Some college/university study without earning a degree,PHP,Language
142,25-34 years old,Italy,Some college/university study without earning a degree,SQL,Language
142,25-34 years old,Italy,Some college/university study without earning a degree,TypeScript,Language
