ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
1410,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Stack Overflow;Social Media;How-to videos;Video-based Online Courses;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository,8,7,"Developer, full-stack",100 to 499 employees,I have little or no influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,,APIs;Customization;Frequent updates to features,Italy,EUR European Euro,40000,C#;JavaScript;Kotlin;Python;TypeScript,Go;JavaScript;Python;TypeScript,JavaScript;Python;TypeScript,MongoDB,MongoDB,MongoDB,Google Cloud;Microsoft Azure;Vercel,Google Cloud;Vercel,Google Cloud;Vercel,Angular;Django;FastAPI;React,Angular;FastAPI,Angular;FastAPI,,,,.NET (5+) ;Pandas;RabbitMQ;Xamarin,Pandas;React Native;Ruff;Tauri,Pandas,Ansible;Docker;Kubernetes;npm;NuGet;Pip;Webpack,Bun;Chocolatey;Docker;Kubernetes;npm;Pip,Docker;Kubernetes;npm;Pip,Android Studio;Jupyter Notebook/JupyterLab;Visual Studio;Visual Studio Code,Jupyter Notebook/JupyterLab;Visual Studio Code,Jupyter Notebook/JupyterLab;Visual Studio Code,Ubuntu,Ubuntu,GitHub Discussions;Jira;Miro;Notion;Trello,GitHub Discussions;Jira;Miro;Notion;Trello,GitHub Discussions;Jira;Miro;Notion;Trello,Google Chat;Google Meet;Microsoft Teams;Slack;Zoom,Google Chat;Google Meet,Google Chat;Google Meet,ChatGPT,ChatGPT;Claude;Cody;GitHub Copilot,ChatGPT,Stack Overflow;Stack Overflow Blog or Podcast,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really",Yes,Favorable,Increase productivity;Speed up learning,Somewhat trust,"Good, but not great at handling complex tasks",Writing code;Documenting code;Testing code;Committing and reviewing code;Search for answers,Generating content or synthetic data,Learning about a codebase;Project planning;Debugging and getting help;Deployment and monitoring;Predictive analytics,,,Writing code;Documenting code;Testing code;Committing and reviewing code;Search for answers,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;We don’t have the right policies in place to reduce security risks",Yes,Individual contributor,7,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Never,10+ times a week,6-10 times a week,30-60 minutes a day,Less than 15 minutes a day,Amount of technical debt;Tracking my work;Complexity of tech stack for deployment;Complexity of tech stack for build,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),A coworker,Software Development,10,10,0,20,50,10,0,0,0,Appropriate in length,Neither easy nor difficult,42962,5
1413,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Apples,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp;Friend or family member",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Video-based Online Courses;Written-based Online Courses;Certification videos,API document(s) and/or SDK document(s);User guides or README files found in the source repository,5,10,"Developer, front-end",100 to 499 employees,I have little or no influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have advertised on sites I visit,Out-of-the-box is ready to go with little need for customization,APIs;Customization;Integrated developer community;Quality support system;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,India,"INR	Indian rupee",,JavaScript,JavaScript;TypeScript,JavaScript,MySQL,MySQL,MySQL,Firebase;Google Cloud,Amazon Web Services (AWS);Firebase,Firebase,Node.js,Node.js,Node.js,CMake,CMake,CMake,React Native;SwiftUI,React Native;SwiftUI,React Native;SwiftUI,Docker;Gradle;Homebrew;Make;npm;Yarn,Docker;Gradle;Homebrew;Make;npm;pnpm;Unity 3D;Yarn,Docker;Gradle;Homebrew;Make;npm;Yarn,Android Studio;Visual Studio;Visual Studio Code;WebStorm;Xcode,Android Studio;Visual Studio;Visual Studio Code;WebStorm;Xcode,Android Studio;Visual Studio;Visual Studio Code;WebStorm;Xcode,Android;iOS;MacOS;Windows,Android;iOS;MacOS;Windows,Confluence;GitHub Discussions;Jira;Wikis,Confluence;GitHub Discussions;Jira;Wikis,Confluence;GitHub Discussions;Jira;Wikis,Google Meet,Google Meet,Google Meet,Amazon Q;ChatGPT;Codeium;GitHub Copilot;Google Gemini,Amazon Q;ChatGPT;Codeium;GitHub Copilot;Google Gemini,Amazon Q;ChatGPT;Codeium;GitHub Copilot;Google Gemini,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely","No, but I plan to soon",Indifferent,,,,,,,,,,,,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Lack of executive buy-in;Not everyone uses them;We don’t have the right policies in place to reduce security risks;They create more work (more code/PRs to review, etc.)",Yes,Individual contributor,5,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Never,Never,3-5 times a week,Less than 15 minutes a day,Less than 15 minutes a day,Amount of technical debt;Number of software tools in use;Complexity of tech stack for deployment;Complexity of tech stack for build;Maintaining security of code being produced;Patching/updating core components;Maintaining security of systems/platforms used in work;Reliability of tools/systems used in work,None of these,Cloud only (single or multi-cloud),A coworker,Fintech,90,60,90,90,20,30,70,100,70,Too long,Neither easy nor difficult,,7
1414,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Apples,Hobby;School or academic work;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Books;Written Tutorials;Stack Overflow;Video-based Online Courses,,6,6,,"5,000 to 9,999 employees",I have little or no influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization,Spain,EUR European Euro,66000,JavaScript;Python;R;SQL;VBA,Python;R;SQL;VBA,Python;R;SQL;VBA,Databricks SQL;Microsoft SQL Server;PostgreSQL;SQLite,Databricks SQL;Microsoft SQL Server;PostgreSQL;SQLite,Databricks SQL;Microsoft SQL Server;PostgreSQL;SQLite,Amazon Web Services (AWS);Databricks,Amazon Web Services (AWS);Databricks,Amazon Web Services (AWS);Databricks,FastAPI;Next.js;Node.js;React,FastAPI;Next.js;Node.js;React,FastAPI;Next.js;Node.js;React,,,,NumPy;Pandas;Scikit-Learn;Tidyverse,NumPy;Pandas;Scikit-Learn;Tidyverse,NumPy;Pandas;Scikit-Learn;Tidyverse,Docker;Ninja;npm;Pip,Docker;Ninja;npm;Pip,Docker;Ninja;npm;Pip,IPython;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;RStudio;Spyder;Visual Studio Code,IPython;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;RStudio;Spyder;Visual Studio Code,IPython;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;RStudio;Spyder;Visual Studio Code,Windows,Windows,Azure Devops;Confluence;Jira,Azure Devops;Confluence;Jira,Azure Devops;Confluence;Jira,Microsoft Teams;Skype;Whatsapp;Zoom,Microsoft Teams;Whatsapp;Zoom,Microsoft Teams;Whatsapp;Zoom,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques,"Yes, definitely",Yes,Unfavorable,Increase productivity;Greater efficiency;Improve accuracy in coding,Highly distrust,Bad at handling complex tasks,Writing code;Documenting code;Search for answers,Learning about a codebase;Committing and reviewing code,Project planning;Debugging and getting help;Testing code,,,Writing code;Documenting code;Search for answers,,,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Energy demand,Don’t trust the output or answers;Lack of proper training and education on new tools,Yes,Individual contributor,15,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Disagree,Disagree,1-2 times a week,3-5 times a week,1-2 times a week,30-60 minutes a day,60-120 minutes a day,Number of software tools in use;Complexity of tech stack for deployment;Complexity of tech stack for build;Reliability of tools/systems used in work,DevOps function;Knowledge sharing community;AI-assisted technology tool(s),Cloud only (single or multi-cloud),Traditional public search engine,Retail and Consumer Services,10,0,10,10,30,40,0,0,0,Appropriate in length,Easy,70888,2
1422,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)","Technical documentation;Books;Written Tutorials;Stack Overflow;Social Media;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository,13,6,"Developer, embedded applications or devices","10,000 or more employees",I have little or no influence,Ask developers I know/work with;Visit developer communities like Stack Overflow,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Integrated developer community;Reputation for quality and excellence,United States of America,"USD	United States dollar",145000,C;C++;Python,C;C++;Python;TypeScript,C;C++;Python,PostgreSQL;Supabase,PostgreSQL;Supabase,PostgreSQL;Supabase,OpenStack;Supabase,Amazon Web Services (AWS);OpenStack;Supabase,OpenStack;Supabase,React,React,React,Arduino;CMake;Rasberry Pi,Arduino;CMake;Rasberry Pi,Arduino;CMake;Rasberry Pi,RabbitMQ,Opencv;RabbitMQ;TensorFlow,RabbitMQ,Ansible;Docker;npm,Ansible;Docker;Kubernetes;npm,Ansible;Docker;npm,Vim;Visual Studio Code,Vim,Vim,Debian;Fedora;iOS;Ubuntu;Windows Subsystem for Linux (WSL),Debian;Fedora;iOS;Ubuntu;Windows Subsystem for Linux (WSL),Jira,Jira,Jira,Discord;Slack;Zoom,Discord;Slack,Discord;Slack,ChatGPT,ChatGPT;GitHub Copilot,ChatGPT,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions,"Yes, definitely",Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Neither trust nor distrust,Bad at handling complex tasks,Writing code,Documenting code;Search for answers;Generating content or synthetic data,Learning about a codebase;Project planning;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics,,,Writing code,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks",Yes,Individual contributor,6,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,1-2 times a week,3-5 times a week,1-2 times a week,15-30 minutes a day,30-60 minutes a day,Amount of technical debt;Number of software tools in use;Tracking my work;Showing my contributions;Complexity of tech stack for build,DevOps function;Automated testing;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Other:,25,10,5,10,15,5,20,10,0,Appropriate in length,Easy,145000,7
1425,I am a developer by profession,55-64 years old,"Employed, full-time",In-person,Apples,Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Books;How-to videos;Interactive tutorial;Written-based Online Courses,User guides or README files found in the source repository;Traditional public search engine;AI-powered search/dev tool (free),40,34,"Developer, desktop or enterprise applications",100 to 499 employees,I have some influence,Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Out-of-the-box is ready to go with little need for customization,APIs;Integrated developer community;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,United States of America,"USD	United States dollar",,C++;Delphi;Java;Lisp;MATLAB;Python;R;Swift;VBA,C#;C++;Delphi;Kotlin;MATLAB;Python;R;Swift;VBA,C++;Delphi;MATLAB;Python;R;Swift;VBA,Microsoft Access;SQLite,Microsoft Access;SQLite,Microsoft Access;SQLite,Google Cloud,Google Cloud,Google Cloud,Node.js;WordPress,Node.js;WordPress,Node.js;WordPress,GNU GCC,GNU GCC,GNU GCC,NumPy;Pandas;SwiftUI;Tidyverse,NumPy;Pandas;SwiftUI;Tidyverse,NumPy;Pandas;SwiftUI;Tidyverse,,,,Android Studio;Eclipse;Notepad++;RStudio;Visual Studio Code;Xcode,Android Studio;Eclipse;Notepad++;RStudio;Visual Studio;Visual Studio Code;Xcode,Android Studio;Eclipse;Notepad++;RStudio;Visual Studio Code;Xcode,Windows,Windows,,,,Microsoft Teams;Slack;Zoom,Microsoft Teams;Slack,Microsoft Teams;Slack,GitHub Copilot,GitHub Copilot;Visual Studio Intellicode,GitHub Copilot,Stack Overflow,Daily or almost daily,No,,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really","No, but I plan to soon",Favorable,,,,,,,,,,,,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
1428,I am a developer by profession,55-64 years old,"Employed, full-time",Remote,Apples,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Colleague;On the job training;Online Courses or Certification,,,41,39,"Developer, full-stack","1,000 to 4,999 employees",I have little or no influence,Start a free trial;Ask developers I know/work with;Other (please specify):,Out-of-the-box is ready to go with little need for customization,APIs;Quality support system;Reputation for quality and excellence,United States of America,"USD	United States dollar",,C#;HTML/CSS;TypeScript,C#;HTML/CSS;TypeScript,C#;HTML/CSS;TypeScript,Cosmos DB,Cosmos DB,Cosmos DB,Microsoft Azure,Microsoft Azure,Microsoft Azure,Angular;ASP.NET CORE,Angular;ASP.NET CORE,Angular;ASP.NET CORE,,,,.NET (5+) ,.NET (5+) ,.NET (5+) ,npm;NuGet,npm;NuGet,npm;NuGet,Notepad++;Visual Studio;WebStorm,Notepad++;Visual Studio;WebStorm,Notepad++;Visual Studio;WebStorm,Windows,Windows,Azure Devops,Azure Devops,Azure Devops,Microsoft Teams;Slack,Microsoft Teams;Slack,Microsoft Teams;Slack,Visual Studio Intellicode,Visual Studio Intellicode,Visual Studio Intellicode,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,Quickly finding code solutions,"Yes, definitely","No, but I plan to soon",Indifferent,,,,,,,,,,,,No,Imitating a person's likeness,We don’t have the right policies in place to reduce security risks,Yes,Individual contributor,40,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Strongly disagree,1-2 times a week,6-10 times a week,1-2 times a week,60-120 minutes a day,15-30 minutes a day,Patching/updating core components,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,20,0,5,25,10,20,15,0,5,Appropriate in length,Neither easy nor difficult,,9
1442,I am a developer by profession,18-24 years old,"Employed, part-time",In-person,Apples,Hobby;Contribute to open-source projects,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,7,2,Research & Development role,20 to 99 employees,I have some influence,Ask developers I know/work with,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Connected to an open source project,Switzerland,"CHF	Swiss franc",,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Lua;PHP;Python;SQL;Visual Basic (.Net),Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Python;Rust;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,MariaDB;MongoDB;MySQL;SQLite,Cassandra;MongoDB;MySQL;SQLite,MongoDB;MySQL;SQLite,Netlify;Render;Vercel,Netlify,Netlify,Flask;Node.js;Vue.js,Flask;Node.js;Vue.js,Flask;Node.js;Vue.js,Rasberry Pi,Rasberry Pi,Rasberry Pi,Electron;NumPy;Opencv,Flutter;NumPy;Opencv,NumPy;Opencv,Docker;Make;npm;Pip;Vite,Docker;Godot;Make;npm;Pip;Unreal Engine,Docker;Make;npm;Pip,Android Studio;IntelliJ IDEA;Nano;Visual Studio;Visual Studio Code,Android Studio;IntelliJ IDEA;Nano;Visual Studio Code,Android Studio;IntelliJ IDEA;Nano;Visual Studio Code,Arch;Debian,Debian;Windows;Windows Subsystem for Linux (WSL),Markdown File;Obsidian;Wikis,Markdown File;Obsidian,Markdown File;Obsidian,Discord;Microsoft Teams,Discord,Discord,,,,Stack Overflow;Stack Overflow Blog or Podcast,A few times per month or weekly,No,,Quickly finding code solutions;Learning new-to-me technology/techniques,Neutral,"No, and I don't plan to",,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,,
1444,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Interactive tutorial,API document(s) and/or SDK document(s);User guides or README files found in the source repository,19,13,"Developer, back-end","5,000 to 9,999 employees",I have little or no influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Quality support system;Reputation for quality and excellence,France,EUR European Euro,56371,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Rust;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;TypeScript,Microsoft SQL Server;SQLite,RavenDB;SQLite,SQLite,OpenShift;Scaleway,Scaleway,Scaleway,ASP.NET;ASP.NET CORE,ASP.NET CORE;Blazor;Htmx;Svelte,ASP.NET CORE,,,,.NET (5+) ;.NET Framework (1.0 - 4.8);Roslyn,.NET (5+) ;Roslyn,.NET (5+) ;Roslyn,Chocolatey;Docker;Kubernetes;MSBuild;npm;NuGet;Visual Studio Solution;Webpack;Yarn,Docker;MSBuild;NuGet;Visual Studio Solution;Vite;Yarn,Docker;MSBuild;NuGet;Visual Studio Solution;Yarn,Notepad++;Visual Studio;Visual Studio Code,Visual Studio Code,Visual Studio Code,Other (please specify):,Windows,Azure Devops;Markdown File;Notion,Azure Devops;Markdown File,Azure Devops;Markdown File,Discord;Mattermost;Skype;Telegram;Whatsapp,Mattermost;Microsoft Teams;Signal;Telegram,Mattermost;Telegram,,,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,13,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,1-2 times a week,1-2 times a week,1-2 times a week,15-30 minutes a day,60-120 minutes a day,Amount of technical debt;Complexity of tech stack for deployment;Reliability of tools/systems used in work,DevOps function;Automated testing;Knowledge sharing community;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,On-prem,A coworker,Banking/Financial Services,0,5,0,50,10,10,5,10,10,Appropriate in length,Easy,60546,8
1448,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community);Other (please specify):","Technical documentation;Blogs;Stack Overflow;How-to videos;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,12,6,"Developer, back-end",100 to 499 employees,I have little or no influence,Ask developers I know/work with;Visit developer communities like Stack Overflow,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Reputation for quality and excellence,Poland,"PLN	Polish zloty",201600,C#;SQL,C#;Rust;SQL,C#;SQL,Elasticsearch;Microsoft SQL Server,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Microsoft Azure,ASP.NET CORE,ASP.NET CORE,ASP.NET CORE,,,,.NET (5+) ,.NET (5+) ,.NET (5+) ,MSBuild;NuGet;Visual Studio Solution,NuGet;Visual Studio Solution,NuGet;Visual Studio Solution,Visual Studio,Visual Studio,Visual Studio,Windows,Windows,Azure Devops,Azure Devops,Azure Devops,Microsoft Teams;Slack,Slack,Slack,,,,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"No, not really","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,6,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Neither agree nor disagree,Never,1-2 times a week,Never,60-120 minutes a day,15-30 minutes a day,Amount of technical debt;Complexity of tech stack for build,Automated testing;Observability tools;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,8,0,6,11,54,5,0,11,5,Appropriate in length,Neither easy nor difficult,49889,5
1452,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Bootstrapping a business,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Written Tutorials;Stack Overflow;How-to videos;Written-based Online Courses,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,10,10,"Developer, full-stack",100 to 499 employees,I have some influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Quality support system;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,Germany,EUR European Euro,47880,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;Ruby;Swift;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;Ruby;Swift;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;Ruby;Swift;TypeScript,Microsoft SQL Server;PostgreSQL;SQLite,PostgreSQL;SQLite,PostgreSQL;SQLite,Amazon Web Services (AWS);Heroku;Microsoft Azure,Heroku;Hetzner,Heroku,ASP.NET;ASP.NET CORE;React;Ruby on Rails,ASP.NET;ASP.NET CORE;React;Remix;Ruby on Rails;Vue.js,ASP.NET;ASP.NET CORE;React;Ruby on Rails,,,,.NET (5+) ,.NET (5+) ;React Native,.NET (5+) ,Docker,Docker;Terraform,Docker,PyCharm;Rider;Sublime Text;WebStorm;Xcode,PyCharm;Rider;RubyMine;Sublime Text;WebStorm,PyCharm;Rider;Sublime Text;WebStorm,MacOS,MacOS,Azure Devops;Confluence,Confluence,Confluence,Microsoft Teams,,,,,,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, somewhat","No, but I plan to soon",Unsure,,,,,,,,,,,,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;We don’t have the right policies in place to reduce security risks",Yes,Individual contributor,10,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,1-2 times a week,3-5 times a week,,30-60 minutes a day,15-30 minutes a day,Tracking my work;Maintaining security of code being produced,Automated testing;Knowledge sharing community;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,15,10,15,15,20,5,5,5,10,Too long,Neither easy nor difficult,51426,7
